dataset,seed,decision_point,trial_id,operator,algorithm,front_size,n_dominated,d_i
hospital_billing,0,p_10,s3_change_label_0,change_label,CART,208,0,0.0
hospital_billing,0,p_10,s3_change_label_0,change_label,C4.5,208,0,0.0
hospital_billing,0,p_10,s3_change_label_0,change_label,REPTree,208,0,0.0
hospital_billing,0,p_10,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
hospital_billing,0,p_10,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
hospital_billing,0,p_10,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
hospital_billing,0,p_12,s3_branch_swap_0,branch_swap,CART,208,0,0.0
hospital_billing,0,p_12,s3_branch_swap_0,branch_swap,C4.5,208,0,0.0
hospital_billing,0,p_12,s3_branch_swap_0,branch_swap,REPTree,208,0,0.0
hospital_billing,0,p_12,s3_change_feature_0,change_feature,CART,207,0,0.0
hospital_billing,0,p_12,s3_change_feature_0,change_feature,C4.5,207,0,0.0
hospital_billing,0,p_12,s3_change_feature_0,change_feature,REPTree,207,0,0.0
hospital_billing,0,p_12,s3_change_label_0,change_label,CART,208,0,0.0
hospital_billing,0,p_12,s3_change_label_0,change_label,C4.5,208,0,0.0
hospital_billing,0,p_12,s3_change_label_0,change_label,REPTree,208,0,0.0
hospital_billing,0,p_12,s3_prune_0,prune,CART,208,0,0.0
hospital_billing,0,p_12,s3_prune_0,prune,C4.5,208,0,0.0
hospital_billing,0,p_12,s3_prune_0,prune,REPTree,208,0,0.0
hospital_billing,0,p_12,s3_regrow_internal_0,regrow_internal,CART,208,0,0.0
hospital_billing,0,p_12,s3_regrow_internal_0,regrow_internal,C4.5,208,0,0.0
hospital_billing,0,p_12,s3_regrow_internal_0,regrow_internal,REPTree,208,0,0.0
hospital_billing,0,p_12,s3_regrow_leaf_0,regrow_leaf,CART,207,0,0.0
hospital_billing,0,p_12,s3_regrow_leaf_0,regrow_leaf,C4.5,207,0,0.0
hospital_billing,0,p_12,s3_regrow_leaf_0,regrow_leaf,REPTree,207,0,0.0
hospital_billing,0,p_16,s3_change_label_0,change_label,CART,208,0,0.0
hospital_billing,0,p_16,s3_change_label_0,change_label,C4.5,208,0,0.0
hospital_billing,0,p_16,s3_change_label_0,change_label,REPTree,208,0,0.0
hospital_billing,0,p_16,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
hospital_billing,0,p_16,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
hospital_billing,0,p_16,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
hospital_billing,0,p_21,s3_branch_swap_0,branch_swap,CART,207,0,0.0
hospital_billing,0,p_21,s3_branch_swap_0,branch_swap,C4.5,207,0,0.0
hospital_billing,0,p_21,s3_branch_swap_0,branch_swap,REPTree,207,0,0.0
hospital_billing,0,p_21,s3_change_feature_0,change_feature,CART,208,0,0.0
hospital_billing,0,p_21,s3_change_feature_0,change_feature,C4.5,208,0,0.0
hospital_billing,0,p_21,s3_change_feature_0,change_feature,REPTree,208,0,0.0
hospital_billing,0,p_21,s3_change_label_0,change_label,CART,207,0,0.0
hospital_billing,0,p_21,s3_change_label_0,change_label,C4.5,207,0,0.0
hospital_billing,0,p_21,s3_change_label_0,change_label,REPTree,207,0,0.0
hospital_billing,0,p_21,s3_change_threshold_0,change_threshold,CART,208,0,0.0
hospital_billing,0,p_21,s3_change_threshold_0,change_threshold,C4.5,208,0,0.0
hospital_billing,0,p_21,s3_change_threshold_0,change_threshold,REPTree,208,0,0.0
hospital_billing,0,p_21,s3_prune_0,prune,CART,208,0,0.0
hospital_billing,0,p_21,s3_prune_0,prune,C4.5,208,0,0.0
hospital_billing,0,p_21,s3_prune_0,prune,REPTree,208,0,0.0
hospital_billing,0,p_21,s3_regrow_internal_0,regrow_internal,CART,207,0,0.0
hospital_billing,0,p_21,s3_regrow_internal_0,regrow_internal,C4.5,207,0,0.0
hospital_billing,0,p_21,s3_regrow_internal_0,regrow_internal,REPTree,207,0,0.0
hospital_billing,0,p_21,s3_regrow_leaf_0,regrow_leaf,CART,207,0,0.0
hospital_billing,0,p_21,s3_regrow_leaf_0,regrow_leaf,C4.5,207,0,0.0
hospital_billing,0,p_21,s3_regrow_leaf_0,regrow_leaf,REPTree,207,0,0.0
hospital_billing,0,p_22,s3_branch_swap_0,branch_swap,CART,177,0,0.0
hospital_billing,0,p_22,s3_branch_swap_0,branch_swap,C4.5,177,0,0.0
hospital_billing,0,p_22,s3_branch_swap_0,branch_swap,REPTree,177,0,0.0
hospital_billing,0,p_22,s3_change_feature_0,change_feature,CART,181,0,0.0
hospital_billing,0,p_22,s3_change_feature_0,change_feature,C4.5,181,0,0.0
hospital_billing,0,p_22,s3_change_feature_0,change_feature,REPTree,181,0,0.0
hospital_billing,0,p_22,s3_change_label_0,change_label,CART,181,0,0.0
hospital_billing,0,p_22,s3_change_label_0,change_label,C4.5,181,0,0.0
