dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner
road_traffic,overall,CART,False,930,8.526135005966609e-144,8.526135005966609e-144,1.0,large,0.18663140053271804,0.17927284935795762,0.19444944725565855,1.5581878011353458,1.5581878011353458,regular,0.1872588870992477,0.12017735407940228,KR
road_traffic,overall,J48,False,930,4.0987826023956655e-143,4.0987826023956655e-143,1.0,large,0.30461961478886435,0.2950919379210937,0.3128520404121239,2.146248733914746,2.146248733914746,regular,0.28584456891678606,0.1331833372338942,KR
road_traffic,overall,REPTree,False,930,7.363735899793093e-154,7.363735899793093e-154,1.0,large,0.23040087507745696,0.22580783789853945,0.23641363135930848,2.6075674067470156,2.6075674067470156,regular,0.2316769639821533,0.08884792906319312,KR
road_traffic,prune,CART,False,120,1.1023991146212048e-21,1.1023991146212048e-21,1.0,large,0.1290323669330257,0.11276004300589593,0.14516129032258066,1.453548463325366,1.453548463325366,regular,0.12899173678071282,0.0887426460385167,KR
road_traffic,prune,J48,False,120,8.460308708019608e-17,8.460308708019608e-17,1.0,large,0.2877162347970148,0.21212958109299762,0.3197679721233264,1.6492573747841737,1.6492573747841737,regular,0.2523411572359635,0.15300289760352628,KR
road_traffic,prune,REPTree,False,120,1.1023991146212048e-21,1.1023991146212048e-21,1.0,large,0.161500536340292,0.15847567544414606,0.17473958140351759,2.49800159812812,2.49800159812812,regular,0.15888202420976955,0.06360365194675134,KR
road_traffic,change_label,CART,False,180,1.1023991146212048e-21,1.1023991146212048e-21,1.0,large,0.1142565296904561,0.10511897575193162,0.12903225806451613,1.0722408484791033,1.0722408484791033,regular,0.11429754797141105,0.10659689764061303,KR
road_traffic,change_label,J48,False,180,1.4172346392835626e-26,1.4172346392835626e-26,1.0,large,0.20781671087453032,0.2008101952735466,0.21762012290178095,1.0869997153475899,1.0869997153475899,regular,0.21348555587399387,0.19639890688078754,KR
road_traffic,change_label,REPTree,False,180,1.8080031095403837e-31,1.8080031095403837e-31,1.0,large,0.19354838709677424,0.17552675406978707,0.2101274318745089,1.9643948732447956,1.9643948732447956,regular,0.19582147843973077,0.09968539477822605,KR
road_traffic,branch_swap,CART,False,120,1.1043929389437244e-21,1.1043929389437244e-21,1.0,large,0.18491007372872795,0.13726734666281645,0.20974040801275906,1.296731003456198,1.296731003456198,regular,0.17958718207962251,0.13849224056567314,KR
road_traffic,branch_swap,J48,False,120,1.1043929389437244e-21,1.1043929389437244e-21,1.0,large,0.32561069326538516,0.32489927913376127,0.3452695638875126,5.26908148868257,5.26908148868257,regular,0.32683296439693077,0.062028451277311505,KR
road_traffic,branch_swap,REPTree,False,120,1.1043929389437244e-21,1.1043929389437244e-21,1.0,large,0.2250883812837707,0.22436892466900196,0.22580783789853945,4.114020450782344,4.114020450782344,regular,0.23345187254268177,0.05674543316824964,KR
road_traffic,change_threshold,CART,False,90,8.170275894867172e-17,8.170275894867172e-17,1.0,large,0.23418794884698094,0.18536967741935484,0.24603073059340422,1.9652788954787204,1.9652788954787204,regular,0.2202837480537236,0.11208777978560895,KR
road_traffic,change_threshold,J48,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.291684303644978,0.291684303644978,0.29944330633468474,8.54870418702228,8.54870418702228,regular,0.2942706378748802,0.034422835489103736,KR
road_traffic,change_threshold,REPTree,False,90,8.170275894867172e-17,8.170275894867172e-17,1.0,large,0.24431749302717484,0.23966426400180768,0.24907404151943713,4.9486475761952216,4.9486475761952216,regular,0.2430972958471226,0.04912398632234557,KR
road_traffic,change_feature,CART,False,120,1.5700240576771436e-21,1.5700240576771436e-21,1.0,large,0.20974040801275906,0.1818534462930979,0.23992347086869037,1.6399403830810209,1.6399403830810209,regular,0.20867354680599684,0.12724459313207082,KR
road_traffic,change_feature,J48,False,120,1.5842422473557823e-21,1.5842422473557823e-21,1.0,large,0.31205458839872935,0.2950919379210937,0.31855801724431776,5.33823421954789,5.33823421954789,regular,0.31430555730818976,0.0588781878766663,KR
road_traffic,change_feature,REPTree,False,120,1.5820516558103371e-21,1.5820516558103371e-21,1.0,large,0.24849159755993078,0.2376910484198565,0.2581340776301041,4.8187896208878325,4.8187896208878325,regular,0.24709589351137756,0.051277584819287396,KR
road_traffic,regrow_leaf,CART,False,180,5.7896612093411115e-31,5.7896612093411115e-31,1.0,large,0.24284045216267033,0.23083500412688915,0.2553418212875505,2.903619573375757,2.903619573375757,regular,0.2424843618742361,0.08351106463727376,KR
road_traffic,regrow_leaf,J48,False,180,3.976918567177487e-31,3.976918567177487e-31,1.0,large,0.30496350500576236,0.28561447278577223,0.32521832454004374,2.4186522230141905,2.4186522230141905,regular,0.30265207753190004,0.12513253234676575,KR
road_traffic,regrow_leaf,REPTree,False,180,2.728568466102481e-31,2.728568466102481e-31,1.0,large,0.28124551604147363,0.2659734097506475,0.29626937395369823,2.938218213636041,2.938218213636041,regular,0.28220975163792184,0.09604792126337264,KR
road_traffic,regrow_internal,CART,False,120,1.964321189090986e-21,1.964321189090986e-21,1.0,large,0.22368658377223302,0.20415685483870968,0.24603073059340422,2.0552172554930763,2.0552172554930763,regular,0.23361823354407446,0.11367082137894277,KR
road_traffic,regrow_internal,J48,False,120,1.3086128910513498e-20,1.3086128910513498e-20,1.0,large,0.3387949040798508,0.3211536700169214,0.35546502026905713,3.0423295012399065,3.0423295012399065,regular,0.32690630164900697,0.10745262849266517,KR
road_traffic,regrow_internal,REPTree,False,120,1.9650137043429104e-21,1.9650137043429104e-21,1.0,large,0.2575493807164937,0.23812079399475114,0.27690461140172473,2.709051914017266,2.709051914017266,regular,0.2566968635960381,0.09475523974562049,KR
