dataset,mine_algorithm,n_trials_with_dominance,median_of_median_delta_accuracy,q1_of_median_delta_accuracy,q3_of_median_delta_accuracy,boot_ci95_lo_delta_accuracy,boot_ci95_hi_delta_accuracy,median_of_median_delta_similarity,q1_of_median_delta_similarity,q3_of_median_delta_similarity,boot_ci95_lo_delta_similarity,boot_ci95_hi_delta_similarity,median_of_median_delta_simplicity,q1_of_median_delta_simplicity,q3_of_median_delta_simplicity,boot_ci95_lo_delta_simplicity,boot_ci95_hi_delta_simplicity
sepsis,CART,223,0.0,0.0,0.0010548523206750926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.06451612903225812,0.06451612903225801,0.06451612903225812
sepsis,C4.5,79,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.0,0.0,0.0,0.0,0.0,0.12903225806451624,0.06451612903225812,0.12903225806451624,0.12903225806451624,0.12903225806451624
sepsis,REPTree,113,0.029535864978903037,0.006329113924050667,0.03448275862068961,0.025316455696202556,0.029535864978903037,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.25806451612903225,0.06451612903225801,0.12903225806451613
