dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
production,overall,CART,False,4440,0.0,0.0,0.3265129354164122,0.3230772971494562,0.32998376629277465,RulesRepair
production,overall,J48,False,4440,0.0,0.0,0.25900772487408036,0.2545926691740913,0.26358139222152793,RulesRepair
production,overall,REPTree,False,4440,0.0,0.0,0.21811505376344087,0.21414662611303525,0.222225,RulesRepair
production,prune,CART,False,750,1.9213920837842302e-117,1.9213920837842302e-117,0.2908973125331259,0.280805517652421,0.29898557071673515,RulesRepair
production,prune,J48,False,750,6.940027696257807e-97,6.940027696257807e-97,0.1869726341130021,0.16665,0.19936678420045656,RulesRepair
production,prune,REPTree,False,750,1.3784285341027192e-80,1.3784285341027192e-80,0.12119786708330327,0.11692743030024699,0.125,RulesRepair
production,change_label,CART,False,780,1.4098163855238004e-119,1.4098163855238004e-119,0.29974502178490336,0.28831195726877434,0.3126951682390504,RulesRepair
production,change_label,J48,False,780,1.1028309307638262e-114,1.1028309307638262e-114,0.2206926231102403,0.2109004434960432,0.2303318262995925,RulesRepair
production,change_label,REPTree,False,780,8.208030992101815e-110,8.208030992101815e-110,0.18608210998400299,0.175,0.1994921717171717,RulesRepair
production,branch_swap,CART,False,570,4.3299354211950234e-95,4.3299354211950234e-95,0.3405098722370637,0.33344925298119843,0.3522227761579278,RulesRepair
production,branch_swap,J48,False,570,5.3646923550706924e-93,5.3646923550706924e-93,0.27886008064516127,0.2744245967741935,0.29228581966457556,RulesRepair
production,branch_swap,REPTree,False,570,5.3646923550706924e-93,5.3646923550706924e-93,0.24259477913813604,0.23318617698759841,0.2516918684313778,RulesRepair
production,change_threshold,CART,False,240,2.9918689741082846e-41,2.9918689741082846e-41,0.33335,0.32707945031295194,0.3539495967741936,RulesRepair
production,change_threshold,J48,False,240,2.9918689741082846e-41,2.9918689741082846e-41,0.3147257868676105,0.28893977718993546,0.32403789343380524,RulesRepair
production,change_threshold,REPTree,False,240,2.9918689741082846e-41,2.9918689741082846e-41,0.25440169404389784,0.23771467741935484,0.26493950325739,RulesRepair
production,change_feature,CART,False,540,3.549083256371057e-90,3.549083256371057e-90,0.3482844033355419,0.3384372363654876,0.3563455877489471,RulesRepair
production,change_feature,J48,False,540,2.9659422627828745e-88,2.9659422627828745e-88,0.3,0.28986952563049717,0.3124946684926403,RulesRepair
production,change_feature,REPTree,False,540,2.9320062950337253e-88,2.9320062950337253e-88,0.26493950325739,0.25440169404389784,0.2738083333333333,RulesRepair
production,regrow_leaf,CART,False,780,7.824134883590204e-129,7.824134883590204e-129,0.31491436742260637,0.30641028172396484,0.32370307670573234,RulesRepair
production,regrow_leaf,J48,False,780,1.1364696469418107e-128,1.1364696469418107e-128,0.2596176183800578,0.2507167879167894,0.26826666666666665,RulesRepair
production,regrow_leaf,REPTree,False,780,1.1338429788931827e-128,1.1338429788931827e-128,0.229175,0.2217586879561077,0.2365067817524278,RulesRepair
production,regrow_internal,CART,False,780,3.692790989474501e-129,3.692790989474501e-129,0.3601709892192645,0.3525020308127652,0.3679485106386643,RulesRepair
production,regrow_internal,J48,False,780,1.6447167014674027e-128,1.6447167014674027e-128,0.30081498854185473,0.29272094015770755,0.30833333333333335,RulesRepair
production,regrow_internal,REPTree,False,780,6.801109767536517e-127,6.801109767536517e-127,0.2574036443220992,0.25,0.2639,RulesRepair
