dataset,algorithm,n_trials,median_delta_accuracy,q1_delta_accuracy,q3_delta_accuracy,median_delta_simplicity,q1_delta_simplicity,q3_delta_simplicity,median_delta_similarity,q1_delta_similarity,q3_delta_similarity
road_traffic,C4.5,10,0.0031847133757961776,0.0017364862077088594,0.004387399802605635,0.0,0.0,0.06451612903225801,0.0,0.0,0.0
road_traffic,CART,17,0.002011397921555469,0.0005866577271204099,0.0051961112973516466,0.12903225806451624,0.06451612903225812,0.12903225806451624,0.0,0.0,0.0
road_traffic,REPTree,111,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0
