dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
prepaid_travel_costs,overall,CART,False,1560,4.7295189205954596e-222,4.7295189205954596e-222,0.1406687885049167,0.13603565482479354,0.1479288781643758,RulesRepair
prepaid_travel_costs,overall,J48,False,1560,7.614148010588607e-222,7.614148010588607e-222,0.16132936933073175,0.15527816585747373,0.16454188615007043,RulesRepair
prepaid_travel_costs,overall,REPTree,False,1560,6.562133112379407e-227,6.562133112379407e-227,0.16430201612903225,0.159836289130687,0.166675,RulesRepair
prepaid_travel_costs,prune,CART,False,180,3.158139626311358e-22,3.158139626311358e-22,0.03225806451612903,0.02208141321044549,0.03225806451612906,RulesRepair
prepaid_travel_costs,prune,J48,False,180,1.302296550044173e-26,1.302296550044173e-26,0.03821044546851002,0.03225806451612903,0.041580098414434136,RulesRepair
prepaid_travel_costs,prune,REPTree,False,180,3.158139626311358e-22,3.158139626311358e-22,0.03225806451612906,0.02208141321044549,0.03821044546851002,RulesRepair
prepaid_travel_costs,change_label,CART,False,390,2.1603203590886018e-41,2.1603203590886018e-41,0.034927103662036496,0.03225806451612906,0.04838709677419359,RulesRepair
prepaid_travel_costs,change_label,J48,False,390,2.2014355585419113e-36,2.2014355585419113e-36,0.08384483252414039,0.083325,0.09945403225806453,RulesRepair
prepaid_travel_costs,change_label,REPTree,False,390,2.3628907206876246e-46,2.3628907206876246e-46,0.09945403225806453,0.08599403914590746,0.09966636800683178,RulesRepair
prepaid_travel_costs,branch_swap,CART,False,180,1.0559656533770769e-31,1.0559656533770769e-31,0.13260537634408603,0.12363204760264798,0.1354158527919892,RulesRepair
prepaid_travel_costs,branch_swap,J48,False,180,1.7054406343547177e-31,1.7054406343547177e-31,0.14438918153342725,0.13260537634408603,0.14962768817204303,RulesRepair
prepaid_travel_costs,branch_swap,REPTree,False,180,1.0559656533770769e-31,1.0559656533770769e-31,0.13260537634408603,0.12465963782500346,0.14065435943060497,RulesRepair
prepaid_travel_costs,change_threshold,CART,False,90,6.639679363007341e-17,6.639679363007341e-17,0.14014101674413076,0.14014101674413076,0.1619540322580645,RulesRepair
prepaid_travel_costs,change_threshold,J48,False,90,6.639679363007341e-17,6.639679363007341e-17,0.14014101674413076,0.14014101674413076,0.1619540322580645,RulesRepair
prepaid_travel_costs,change_threshold,REPTree,False,90,6.639679363007341e-17,6.639679363007341e-17,0.15850981518401108,0.15850981518401108,0.1619540322580645,RulesRepair
prepaid_travel_costs,change_feature,CART,False,150,1.488787905596132e-26,1.488787905596132e-26,0.14014101674413076,0.13971260880696365,0.14089422945164315,RulesRepair
prepaid_travel_costs,change_feature,J48,False,150,1.488787905596132e-26,1.488787905596132e-26,0.15906350949041648,0.14014101674413076,0.16141149336138422,RulesRepair
prepaid_travel_costs,change_feature,REPTree,False,150,1.488787905596132e-26,1.488787905596132e-26,0.14065435943060497,0.13971260880696365,0.15850981518401108,RulesRepair
prepaid_travel_costs,regrow_leaf,CART,False,390,1.1318062433667758e-65,1.1318062433667758e-65,0.2594186827956989,0.2489290322580645,0.26985806451612904,RulesRepair
prepaid_travel_costs,regrow_leaf,J48,False,390,2.3698909850519307e-65,2.3698909850519307e-65,0.2790137983034523,0.2694767636244488,0.2909936006399445,RulesRepair
prepaid_travel_costs,regrow_leaf,REPTree,False,390,1.149638974538991e-65,1.149638974538991e-65,0.28415989768329236,0.27461936702628964,0.29570474004207636,RulesRepair
prepaid_travel_costs,regrow_internal,CART,False,180,5.699926019485189e-31,5.699926019485189e-31,0.25349153225806453,0.2408560483870968,0.26997701612903224,RulesRepair
prepaid_travel_costs,regrow_internal,J48,False,180,3.963511289866408e-31,3.963511289866408e-31,0.24459420619626798,0.23150560717652374,0.25772414274730376,RulesRepair
prepaid_travel_costs,regrow_internal,REPTree,False,180,5.699926019485189e-31,5.699926019485189e-31,0.2600369157089195,0.24605,0.273825,RulesRepair
