dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
road_traffic,overall,CART,False,930,8.526135005966609e-144,8.526135005966609e-144,0.18663140053271804,0.17927284935795762,0.19444944725565855,RulesRepair
road_traffic,overall,J48,False,930,4.0987826023956655e-143,4.0987826023956655e-143,0.30461961478886435,0.2950919379210937,0.3128520404121239,RulesRepair
road_traffic,overall,REPTree,False,930,7.363735899793093e-154,7.363735899793093e-154,0.23040087507745696,0.22580783789853945,0.23641363135930848,RulesRepair
road_traffic,prune,CART,False,120,1.1023991146212048e-21,1.1023991146212048e-21,0.1290323669330257,0.11276004300589593,0.14516129032258066,RulesRepair
road_traffic,prune,J48,False,120,8.460308708019608e-17,8.460308708019608e-17,0.2877162347970148,0.21212958109299762,0.3197679721233264,RulesRepair
road_traffic,prune,REPTree,False,120,1.1023991146212048e-21,1.1023991146212048e-21,0.161500536340292,0.15847567544414606,0.17473958140351759,RulesRepair
road_traffic,change_label,CART,False,180,1.1023991146212048e-21,1.1023991146212048e-21,0.1142565296904561,0.10511897575193162,0.12903225806451613,RulesRepair
road_traffic,change_label,J48,False,180,1.4172346392835626e-26,1.4172346392835626e-26,0.20781671087453032,0.2008101952735466,0.21762012290178095,RulesRepair
road_traffic,change_label,REPTree,False,180,1.8080031095403837e-31,1.8080031095403837e-31,0.19354838709677424,0.17552675406978707,0.2101274318745089,RulesRepair
road_traffic,branch_swap,CART,False,120,1.1043929389437244e-21,1.1043929389437244e-21,0.18491007372872795,0.13726734666281645,0.20974040801275906,RulesRepair
road_traffic,branch_swap,J48,False,120,1.1043929389437244e-21,1.1043929389437244e-21,0.32561069326538516,0.32489927913376127,0.3452695638875126,RulesRepair
road_traffic,branch_swap,REPTree,False,120,1.1043929389437244e-21,1.1043929389437244e-21,0.2250883812837707,0.22436892466900196,0.22580783789853945,RulesRepair
road_traffic,change_threshold,CART,False,90,8.170275894867172e-17,8.170275894867172e-17,0.23418794884698094,0.18536967741935484,0.24603073059340422,RulesRepair
road_traffic,change_threshold,J48,False,90,6.639679363007341e-17,6.639679363007341e-17,0.291684303644978,0.291684303644978,0.29944330633468474,RulesRepair
road_traffic,change_threshold,REPTree,False,90,8.170275894867172e-17,8.170275894867172e-17,0.24431749302717484,0.23966426400180768,0.24907404151943713,RulesRepair
road_traffic,change_feature,CART,False,120,1.5700240576771436e-21,1.5700240576771436e-21,0.20974040801275906,0.1818534462930979,0.23992347086869037,RulesRepair
road_traffic,change_feature,J48,False,120,1.5842422473557823e-21,1.5842422473557823e-21,0.31205458839872935,0.2950919379210937,0.31855801724431776,RulesRepair
road_traffic,change_feature,REPTree,False,120,1.5820516558103371e-21,1.5820516558103371e-21,0.24849159755993078,0.2376910484198565,0.2581340776301041,RulesRepair
road_traffic,regrow_leaf,CART,False,180,5.7896612093411115e-31,5.7896612093411115e-31,0.24284045216267033,0.23083500412688915,0.2553418212875505,RulesRepair
road_traffic,regrow_leaf,J48,False,180,3.976918567177487e-31,3.976918567177487e-31,0.30496350500576236,0.28561447278577223,0.32521832454004374,RulesRepair
road_traffic,regrow_leaf,REPTree,False,180,2.728568466102481e-31,2.728568466102481e-31,0.28124551604147363,0.2659734097506475,0.29626937395369823,RulesRepair
road_traffic,regrow_internal,CART,False,120,1.964321189090986e-21,1.964321189090986e-21,0.22368658377223302,0.20415685483870968,0.24603073059340422,RulesRepair
road_traffic,regrow_internal,J48,False,120,1.3086128910513498e-20,1.3086128910513498e-20,0.3387949040798508,0.3211536700169214,0.35546502026905713,RulesRepair
road_traffic,regrow_internal,REPTree,False,120,1.9650137043429104e-21,1.9650137043429104e-21,0.2575493807164937,0.23812079399475114,0.27690461140172473,RulesRepair
