dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner
prepaid_travel_costs,overall,CART,False,1560,5.152681827993527e-222,5.152681827993527e-222,1.0,large,0.14123906619385343,0.13603565482479354,0.1481527974835778,1.2844683225061817,1.2844683225061817,regular,0.1463173573912542,0.11391277996312753,KR
prepaid_travel_costs,overall,J48,False,1560,5.8457175383769645e-217,5.8457175383769645e-217,1.0,large,0.15355839746107813,0.14688870056497177,0.15946542223621896,1.3422138895080755,1.3422138895080755,regular,0.1550108751015214,0.11548895173356702,KR
prepaid_travel_costs,overall,REPTree,False,1560,6.852580424064807e-227,6.852580424064807e-227,1.0,large,0.17660537634408602,0.166675,0.18123054797446286,1.5721740542828355,1.5721740542828355,regular,0.17691490582473138,0.11252882932572822,KR
prepaid_travel_costs,prune,CART,False,180,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.03225806451612903,0.02208141321044549,0.03305678656085745,1.2564968807862225,1.2564968807862225,regular,0.02913208809581065,0.023185165471785295,KR
prepaid_travel_costs,prune,J48,False,180,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.026249788201098023,0.02208141321044549,0.03225806451612903,1.1463085342990043,1.1463085342990043,regular,0.026863088642557514,0.02343443134093471,KR
prepaid_travel_costs,prune,REPTree,False,180,1.302296550044173e-26,1.302296550044173e-26,1.0,large,0.04416282642089098,0.03821044546851002,0.0456397195281418,0.949971332444461,0.949971332444461,regular,0.061201730283524644,0.0644248180900793,KR
prepaid_travel_costs,change_label,CART,False,390,2.8210382519219104e-41,2.8210382519219104e-41,1.0,large,0.03580416380690918,0.03225806451612906,0.04918581881892198,0.8067518190174242,0.8067518190174242,regular,0.053682796980662355,0.06654189766320553,KR
prepaid_travel_costs,change_label,J48,False,390,2.2014355585419113e-36,2.2014355585419113e-36,1.0,large,0.08384483252414039,0.083325,0.09698225073798553,0.8726328829765282,0.8726328829765282,regular,0.07678161159542157,0.08798844633670173,KR
prepaid_travel_costs,change_label,REPTree,False,390,2.8210382519219104e-41,2.8210382519219104e-41,1.0,large,0.0994578602943734,0.09945403225806453,0.09966636800683178,1.1821619301532473,1.1821619301532473,regular,0.10144450918511096,0.0858127017945506,KR
prepaid_travel_costs,branch_swap,CART,False,180,1.7054406343547177e-31,1.7054406343547177e-31,1.0,large,0.1331378577072383,0.1247492357290487,0.13600055955523765,3.1357819195066967,3.1357819195066967,regular,0.12484827682430716,0.03981408147284285,KR
prepaid_travel_costs,branch_swap,J48,False,180,1.7054406343547177e-31,1.7054406343547177e-31,1.0,large,0.12859985880073202,0.12352937853107347,0.13600055955523765,3.1096742233081156,3.1096742233081156,regular,0.1233356105221384,0.03966190721770598,KR
prepaid_travel_costs,branch_swap,REPTree,False,180,1.7054406343547177e-31,1.7054406343547177e-31,1.0,large,0.15282170974018444,0.14962768817204303,0.1556743510686225,2.3498740875131343,2.3498740875131343,regular,0.15270791632694997,0.06498557396688448,KR
prepaid_travel_costs,change_threshold,CART,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.14014101674413076,0.14014101674413076,0.16275785774966944,5.999093950014095,5.999093950014095,regular,0.14767996374597706,0.02461704466982553,KR
prepaid_travel_costs,change_threshold,J48,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.14014101674413076,0.14014101674413076,0.16275785774966944,5.999093950014095,5.999093950014095,regular,0.14767996374597706,0.02461704466982553,KR
prepaid_travel_costs,change_threshold,REPTree,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.18184047974745898,0.16275785774966944,0.18184047974745898,3.0721899583324817,3.0721899583324817,regular,0.17547960574819585,0.05711873553660152,KR
prepaid_travel_costs,change_feature,CART,False,150,1.5209626289096508e-26,1.5209626289096508e-26,1.0,large,0.14014101674413076,0.1398840116171515,0.14123906619385343,5.4345449176898,5.4345449176898,regular,0.1413504820198394,0.026009626226426854,KR
prepaid_travel_costs,change_feature,J48,False,150,1.5209626289096508e-26,1.5209626289096508e-26,1.0,large,0.14014101674413076,0.1398840116171515,0.14123906619385343,5.4345449176898,5.4345449176898,regular,0.1413504820198394,0.026009626226426854,KR
prepaid_travel_costs,change_feature,REPTree,False,150,1.5209626289096508e-26,1.5209626289096508e-26,1.0,large,0.16141149336138422,0.15946542223621896,0.1647039288748347,3.5995732830049154,3.5995732830049154,regular,0.16658926260150952,0.04628028088441672,KR
prepaid_travel_costs,regrow_leaf,CART,False,390,1.144639928259806e-65,1.144639928259806e-65,1.0,large,0.2589977131935914,0.24831736337093416,0.26925057176237227,2.5538288660538013,2.5538288660538013,regular,0.256350486945225,0.10037888221591763,KR
prepaid_travel_costs,regrow_leaf,J48,False,390,1.6425796791080179e-65,1.6425796791080179e-65,1.0,large,0.2741470430107527,0.2622470430107527,0.2839236063853725,2.876709775623572,2.876709775623572,regular,0.2702713252242329,0.09395154405718505,KR
prepaid_travel_costs,regrow_leaf,REPTree,False,390,1.669689167018226e-65,1.669689167018226e-65,1.0,large,0.28893645116329136,0.2790193548387097,0.29790062680556856,3.4167291991418955,3.4167291991418955,regular,0.2850487797142126,0.08342738423220723,KR
prepaid_travel_costs,regrow_internal,CART,False,180,5.738596662948876e-31,5.738596662948876e-31,1.0,large,0.2536243214275342,0.24125700427628682,0.26997701612903224,2.7729398330027424,2.7729398330027424,regular,0.2507325670751414,0.09042120715747007,KR
prepaid_travel_costs,regrow_internal,J48,False,180,5.738596662948876e-31,5.738596662948876e-31,1.0,large,0.2531151530521826,0.24027607526881717,0.26804162565994416,2.760293875787901,2.760293875787901,regular,0.2496488050497167,0.0904428355399139,KR
prepaid_travel_costs,regrow_internal,REPTree,False,180,3.965184797223366e-31,3.965184797223366e-31,1.0,large,0.2563928552398881,0.24244928696713186,0.2714729604926802,2.6688978045525054,2.6688978045525054,regular,0.25538655621330714,0.09568989707199667,KR
