dataset,mine_algorithm,trial_id,seed,decision_point,mutation_type,n_dominated,median_delta_accuracy,median_delta_similarity,median_delta_simplicity
hospital_billing,CART,s3_regrow_internal_0,15,p_24,regrow_internal,6,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_regrow_leaf_0,15,p_24,regrow_leaf,6,0.0024875621890547706,0.10249999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,15,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_change_feature_0,16,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,16,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,16,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_internal_0,16,p_24,regrow_internal,6,0.0024875621890547706,0.1528,0.0
hospital_billing,CART,s3_regrow_leaf_0,16,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_regrow_leaf_1,16,p_24,regrow_leaf,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_change_label_0,17,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,17,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,17,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_regrow_internal_0,17,p_24,regrow_internal,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_0,17,p_24,regrow_leaf,6,0.0024875621890547706,0.10249999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,17,p_24,regrow_leaf,3,0.0024875621890547706,0.08099999999999999,0.0
hospital_billing,CART,s3_branch_swap_0,18,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_0,18,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_1,18,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_threshold_0,18,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,18,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_leaf_0,18,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,18,p_24,regrow_leaf,6,0.0024875621890547706,0.07919999999999999,0.0
hospital_billing,CART,s3_branch_swap_0,19,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,19,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,19,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,19,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,19,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,19,p_24,regrow_leaf,6,0.0024875621890547706,0.10249999999999998,0.0
hospital_billing,C4.5,s3_regrow_internal_0,2,p_22,regrow_internal,1,0.08614887602638299,0.0,0.0
hospital_billing,REPTree,s3_regrow_internal_0,2,p_22,regrow_internal,1,0.09633418584825226,0.0,0.06451612903225812
hospital_billing,CART,s3_change_feature_0,2,p_24,change_feature,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_0,2,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,2,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,2,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,2,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_0,2,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,2,p_24,regrow_leaf,3,0.0024875621890547706,0.07500000000000001,0.0
hospital_billing,CART,s3_change_feature_0,20,p_24,change_feature,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_0,20,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_1,20,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,20,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,20,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,20,p_24,regrow_leaf,3,0.0024875621890547706,0.10600000000000001,0.0
hospital_billing,CART,s3_branch_swap_0,21,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,21,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,21,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_regrow_internal_0,21,p_24,regrow_internal,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,21,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,21,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_change_feature_0,22,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,22,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,22,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_prune_0,22,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_0,22,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,22,p_24,regrow_leaf,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_branch_swap_0,23,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,23,p_24,change_feature,6,0.0024875621890547706,0.13329999999999997,0.0
