dataset,algorithm,decision_point,operator,n_trials,dominance_pct
production,C4.5,p_76,regrow_internal,30,0.0
production,C4.5,p_76,regrow_leaf,30,0.0
production,C4.5,p_78,branch_swap,30,0.0
production,C4.5,p_78,change_feature,30,0.0
production,C4.5,p_78,change_label,30,0.0
production,C4.5,p_78,change_threshold,30,0.0
production,C4.5,p_78,prune,60,0.0
production,C4.5,p_78,regrow_internal,60,0.0
production,C4.5,p_78,regrow_leaf,30,0.0
production,C4.5,p_81,branch_swap,30,0.0
production,C4.5,p_81,change_feature,30,0.0
production,C4.5,p_81,change_label,30,0.0
production,C4.5,p_81,prune,30,0.0
production,C4.5,p_81,regrow_internal,30,0.0
production,C4.5,p_81,regrow_leaf,30,0.0
production,C4.5,p_95,branch_swap,30,0.0
production,C4.5,p_95,change_feature,30,0.0
production,C4.5,p_95,change_label,30,0.0
production,C4.5,p_95,change_threshold,30,0.0
production,C4.5,p_95,prune,30,0.0
production,C4.5,p_95,regrow_internal,30,0.0
production,C4.5,p_95,regrow_leaf,30,0.0
production,CART,p_100,change_label,30,0.0
production,CART,p_100,prune,30,0.0
production,CART,p_100,regrow_internal,30,0.0
production,CART,p_100,regrow_leaf,30,0.0
production,CART,p_18,branch_swap,30,0.0
production,CART,p_18,change_feature,30,0.0
production,CART,p_18,change_label,30,0.0
production,CART,p_18,prune,30,0.0
production,CART,p_18,regrow_internal,30,0.0
production,CART,p_18,regrow_leaf,30,0.0
production,CART,p_26,branch_swap,30,0.0
production,CART,p_26,change_feature,30,6.666666666666667
production,CART,p_26,change_label,30,0.0
production,CART,p_26,change_threshold,30,0.0
production,CART,p_26,prune,60,0.0
production,CART,p_26,regrow_internal,60,3.3333333333333335
production,CART,p_26,regrow_leaf,30,0.0
production,CART,p_30,change_label,30,0.0
production,CART,p_30,regrow_leaf,30,0.0
production,CART,p_32,change_label,30,0.0
production,CART,p_32,prune,30,0.0
production,CART,p_32,regrow_internal,30,0.0
production,CART,p_32,regrow_leaf,30,0.0
production,CART,p_35,branch_swap,30,0.0
production,CART,p_35,change_feature,30,0.0
production,CART,p_35,change_label,30,0.0
production,CART,p_35,change_threshold,30,0.0
production,CART,p_35,prune,30,0.0
production,CART,p_35,regrow_internal,30,0.0
production,CART,p_35,regrow_leaf,30,0.0
production,CART,p_37,branch_swap,30,0.0
production,CART,p_37,change_feature,30,0.0
production,CART,p_37,change_label,30,0.0
production,CART,p_37,prune,30,0.0
production,CART,p_37,regrow_internal,30,0.0
production,CART,p_37,regrow_leaf,30,0.0
production,CART,p_40,branch_swap,30,0.0
production,CART,p_40,change_feature,30,0.0
production,CART,p_40,change_label,30,0.0
production,CART,p_40,change_threshold,30,0.0
production,CART,p_40,prune,30,0.0
production,CART,p_40,regrow_internal,30,0.0
production,CART,p_40,regrow_leaf,30,0.0
production,CART,p_42,branch_swap,30,0.0
production,CART,p_42,change_feature,30,0.0
production,CART,p_42,change_label,30,0.0
production,CART,p_42,change_threshold,30,0.0
production,CART,p_42,prune,30,0.0
production,CART,p_42,regrow_internal,30,0.0
production,CART,p_42,regrow_leaf,30,0.0
production,CART,p_44,change_label,30,0.0
production,CART,p_44,prune,30,0.0
production,CART,p_44,regrow_internal,30,0.0
production,CART,p_44,regrow_leaf,30,0.0
production,CART,p_5,branch_swap,30,0.0
production,CART,p_5,change_label,30,0.0
production,CART,p_5,prune,30,0.0
production,CART,p_5,regrow_internal,30,0.0
production,CART,p_5,regrow_leaf,30,0.0
production,CART,p_53,branch_swap,30,0.0
production,CART,p_53,change_feature,30,0.0
production,CART,p_53,change_label,30,0.0
production,CART,p_53,change_threshold,30,0.0
production,CART,p_53,prune,30,0.0
production,CART,p_53,regrow_internal,30,0.0
production,CART,p_53,regrow_leaf,30,0.0
production,CART,p_56,change_label,30,0.0
production,CART,p_56,prune,30,0.0
production,CART,p_56,regrow_internal,30,0.0
production,CART,p_56,regrow_leaf,30,0.0
production,CART,p_59,branch_swap,30,0.0
production,CART,p_59,change_feature,30,0.0
production,CART,p_59,change_label,30,0.0
production,CART,p_59,prune,30,0.0
production,CART,p_59,regrow_internal,30,0.0
production,CART,p_59,regrow_leaf,30,0.0
production,CART,p_61,change_label,30,0.0
production,CART,p_61,regrow_leaf,30,0.0
production,CART,p_63,branch_swap,30,0.0
production,CART,p_63,change_feature,30,0.0
production,CART,p_63,change_label,30,0.0
production,CART,p_63,prune,30,0.0
production,CART,p_63,regrow_internal,30,0.0
production,CART,p_63,regrow_leaf,30,0.0
production,CART,p_65,branch_swap,30,0.0
production,CART,p_65,change_feature,30,0.0
production,CART,p_65,change_label,30,0.0
production,CART,p_65,prune,30,0.0
production,CART,p_65,regrow_internal,30,0.0
production,CART,p_65,regrow_leaf,30,0.0
production,CART,p_66,change_label,30,0.0
production,CART,p_66,prune,30,0.0
production,CART,p_66,regrow_internal,30,0.0
