dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
hospital_billing,overall,CART,False,2668,0.0,0.0,0.1622727187808679,0.156577688172043,0.16665,RulesRepair,0.0
hospital_billing,overall,J48,False,2608,0.0,0.0,0.347812348069954,0.3405805040631924,0.3547649267056052,RulesRepair,0.0
hospital_billing,overall,REPTree,False,2608,0.0,0.0,0.2860459804834411,0.2785458474340161,0.2941582945153068,RulesRepair,0.0
hospital_billing,prune,CART,False,360,4.202007701280872e-52,4.202007701280872e-52,0.1246014857791995,0.108472453521135,0.1427176603934671,RulesRepair,4.202007701280872e-52
hospital_billing,prune,J48,False,360,7.444784721267231e-61,2.2334354163801692e-60,0.3439809164002712,0.322706622477131,0.3553783259966051,RulesRepair,7.444784721267231e-61
hospital_billing,prune,REPTree,False,360,8.800783130777079e-57,1.7601566261554158e-56,0.2666487833388559,0.2416063032774298,0.276422825840145,RulesRepair,8.800783130777079e-57
hospital_billing,change_label,CART,False,540,6.852387686344121e-61,6.852387686344121e-61,0.1277833333333333,0.1025045010685468,0.1398849888125753,RulesRepair,6.852387686344121e-61
hospital_billing,change_label,J48,False,510,2.5583353410073442e-85,7.238670165911751e-85,0.3578174219023828,0.347459731281903,0.3648380053627781,RulesRepair,2.5583353410073442e-85
hospital_billing,change_label,REPTree,False,510,2.412890055303917e-85,7.238670165911751e-85,0.2955699106774673,0.2837797989545254,0.3065349888125753,RulesRepair,2.412890055303917e-85
hospital_billing,branch_swap,CART,False,330,3.3015681132872847e-46,6.6031362265745694e-46,0.1152719386885804,0.0994540322580645,0.1308396048248915,RulesRepair,3.3015681132872847e-46
hospital_billing,branch_swap,J48,False,330,5.0686413859892093e-51,1.5205924157967629e-50,0.3064997691496837,0.2831316495378392,0.3227332929468979,RulesRepair,5.0686413859892093e-51
hospital_billing,branch_swap,REPTree,False,330,4.072197133816713e-46,6.6031362265745694e-46,0.2577597422827761,0.2148500220964872,0.2740691982556839,RulesRepair,4.072197133816713e-46
hospital_billing,change_threshold,CART,False,210,6.124187132401105e-37,1.8372561397203315e-36,0.1754445136946457,0.1471774193548387,0.1953000861450761,RulesRepair,6.124187132401105e-37
hospital_billing,change_threshold,J48,False,210,1.7761032689597618e-36,3.5522065379195236e-36,0.3224132761966076,0.3141352867656903,0.3639571612546429,RulesRepair,1.7761032689597618e-36
hospital_billing,change_threshold,REPTree,False,210,1.7761032689597618e-36,3.5522065379195236e-36,0.3363996970500729,0.2803978919358184,0.3466750171820232,RulesRepair,1.7761032689597618e-36
hospital_billing,change_feature,CART,False,330,4.325085180422959e-56,1.2975255541268876e-55,0.1628994623655913,0.1486463359334897,0.1716677866279998,RulesRepair,4.325085180422959e-56
hospital_billing,change_feature,J48,False,330,6.693122286815311e-56,1.2975255541268876e-55,0.3205541073813234,0.2977775928141413,0.3452084349841171,RulesRepair,6.693122286815311e-56
hospital_billing,change_feature,REPTree,False,330,5.903285747272721e-56,1.2975255541268876e-55,0.256490305445385,0.2303391434605218,0.2807977679720175,RulesRepair,5.903285747272721e-56
hospital_billing,regrow_leaf,CART,False,540,1.5685332134313428e-88,4.7055996402940287e-88,0.2257952332154456,0.2166640532574943,0.2338808185533045,RulesRepair,1.5685332134313428e-88
hospital_billing,regrow_leaf,J48,False,510,2.9394049005030085e-85,5.821230884452984e-85,0.3861279004091697,0.3758292157441863,0.3967417747715603,RulesRepair,2.9394049005030085e-85
